id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
85103|4W|Kelsey|NDB|391|56.037498474121094|-96.51280212402344|600|CA|2.303|LO|LOW|CZEE
85104|4X|Lac Du Bonnet|NDB|386|50.29029846191406|-96.01419830322266|850|CA|3.03|LO|MEDIUM|CYAX
85105|4Y|Key Lake|NDB|376|57.25419998168945|-105.62200164794922|1670|CA|12.181|LO|MEDIUM|CYKJ
85106|5B|Summerside|NDB|254|46.39690017700195|-63.88169860839844||CA|-19.313|LO|MEDIUM|CYSU
85107|5F|Fox Creek|NDB-DME|353|54.379398345947266|-116.76000213623047|2841|CA|18.332|LO|LOW|CED4
85108|5J|Coronation|NDB|328|52.07440185546875|-111.447998046875|2595|CA|15.158|LO|HIGH|CYCT
85109|5L|Donaldson|NDB|233|61.66469955444336|-73.29190063476562|1888|CA|-27.485|BOTH|MEDIUM|CTP9
85110|5M|Sparwood|NDB|200|49.837200164799995|-114.884002686|3800|CA|16.131|LO|MEDIUM|CYSW
85111|5O|Gods River|NDB|350|54.84189987182617|-94.06909942626953|676|CA|-0.043|LO|LOW|CJT3
85112|5Q|Fontanges|NDB|239|54.560001373291016|-71.17109680175781|1552|CA|-21.458|LO|LOW|CTU2
85113|5U|Fort Vermilion|NDB-DME|261|58.40250015258789|-115.95099639892578|836|CA|19.554|LO|LOW|CEZ4
85114|5V|Drumheller|NDB-DME|395|51.502498626708984|-112.7509994506836|2625|CA|15.463|LO|MEDIUM|CEG4
85115|5W|Leaf Rapids|NDB|226|56.51169967651367|-99.98390197753906|959|CA|6.283|LO|MEDIUM|CYLR
85116|5Y|Trenton|NDB|361|45.61180114746094|-62.625099182128906|317|CA|-19.265|LO|LOW|CYTN
85117|6E|Grand Manan|NDB|387|44.715599060058594|-66.80220031738281|238|CA|-18.017|LO|MEDIUM|CCN2
85118|6F|Port Hope Simpson|NDB|367|52.520301818847656|-56.29520034790039|347|CA|-23.08|LO|LOW|CCP4
85119|6G|Red Deer|DME|111600|52.18119812011719|-113.88300323486328|2985|CA|16.313|LO|LOW|CYQF
85120|6K|Vernon Bc|NDB|302|50.349998474121094|-119.26000213623047||CA|17.537|LO|LOW|CYVK
85121|6M|Belleville|NDB|283|44.19499969482422|-77.30829620361328|320|CA|-12.149|LO|LOW|CNU4
85122|6Q|Cigar Lake|NDB|222|58.069698333740234|-104.53900146484375||CA|11.223|LO|MEDIUM|CJW7
85123|6X|York Landing|NDB|339|56.08829879760742|-96.0969009399414|609|CA|1.594|LO|MEDIUM|CZAC
85124|6Z|La Loche|NDB|410|56.47829818725586|-109.4010009765625|1500|CA|15.139|LO|MEDIUM|CJL4
85125|7B|St Thomas|NDB|375|42.77090072631836|-81.10569763183594|776|CA|-8.511|LO|HIGH|CYQS
85126|7C|Fogo|NDB|237|49.661598205566406|-54.24509811401367|97|CA|-21.274|LO|MEDIUM|CDY3
85127|7D|Hudson Bay|NDB|337|52.847801208496094|-102.18699645996094||CA|8.448|LO|LOW|CYHB
85128|7F|Collins Bay|NDB|400|58.22829818725586|-103.68299865722656|1340|CA|10.302|LO|MEDIUM|CYKC
85129|7H|Marystown|NDB|234|47.138301849365234|-55.32500076293945|96|CA|-20.262|LO|MEDIUM|CCC2
85130|7J|Forestburg|NDB|261|52.57640075683594|-112.08599853515625|2352|CA|15.451|LO|LOW|CEF6
85131|7L|La Sarre|NDB|405|48.91059875488281|-79.17890167236328|1048|CA|-12.521|LO|LOW|CSR8
85132|7P|Iroquois Falls|NDB|382|48.70840072631836|-80.73590087890625||CA|-11.281|LO|LOW|CNE4
85133|7V|Jasper-Hinton|NDB|233|53.32109832763672|-117.75499725341797|4026|CA|18.307|LO|LOW|CEC4
85134|8A|Carlyle|NDB|310|49.645599365234375|-102.28099822998047|2074|CA|8.406|LO|MEDIUM|CJQ3
85135|8C|Fairview|NDB-DME|295|56.075599670410156|-118.44100189208984|2190|CA|19.542|LO|MEDIUM|CEB5
85136|8F|Debert|NDB|239|45.422000885009766|-63.459598541259766|142|CA|-19.124|LO|LOW|CCQ3
85137|8G|Stettler|NDB-DME|286|52.30830001831055|-112.75399780273438|2700|CA|16.01|LO|LOW|CEJ3
