id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
87730|ELQ|Emporia|NDB|261|36.61800003051758|-77.42549896240234|61|US|-9.474|TERMINAL|LOW|
87731|ELU|Luxembourg|NDB|369|49.6796989440918|6.355279922485352||LU|0.073|BOTH|LOW|ELLX
87732|ELV|East London|VORTAC|114500|-33.0369987487793|27.822999954223633|435|ZA|-26.3|BOTH|HIGH|FAEL
87733|ELW|Eildon Weir|VOR|112300|-37.206298828125|145.8350067138672||AU|11.477|BOTH|HIGH|
87734|ELW|Electric City|VORTAC|108600|34.4192008972168|-82.78469848632812|740|US|-5.265|LO|MEDIUM|KAND
87735|ELX|Keeler|VOR-DME|116600|42.14440155029297|-86.12259674072266|795|US|-4.282|LO|MEDIUM|
87736|ELY|Ely|VOR-DME|110600|39.298099517822266|-114.8479995727539|6254|US|13.296|BOTH|HIGH|
87737|ELZ|Wellsville|VORTAC|111400|42.089599609375|-77.99949645996094|2296|US|-11|BOTH|MEDIUM|
87738|EM|Egedesminde|NDB|215|68.70999908447266|-52.843299865722656||GL|-36.538|BOTH|LOW|
87739|EM|Entebbe|NDB|355|0.13859400153160095|32.42470169067383||UG|0.388|BOTH|HIGH|HUEN
87740|EMB|Embuguacu|NDB|525|-23.85070037841797|-46.81629943847656||BR|-19.438|LO|MEDIUM|
87741|EMD|Emden|NDB|345|53.39390182495117|7.241690158843994||DE|0.095|TERMINAL|LOW|EDWE
87742|EMG|Elm Grove|VORTAC|111200|32.40019989013672|-93.59510040283203|160|US|2.395|BOTH|MEDIUM|KBAD
87743|EMI|Westminster|VORTAC|117900|39.494998931884766|-76.97859954833984|820|US|-10.539|BOTH|HIGH|
87744|EML|Emerald|NDB|324|-23.5674991607666|148.17100524902344|624|AU|8.545|BOTH|MEDIUM|YEML
87745|EMP|Emporia|VORTAC|112800|38.291099548339844|-96.13809967041016|1220|US|4.059|LO|MEDIUM|
87746|EMR|Emory|NDB|385|33.462799072265625|-81.99690246582031||US|-5.48|TERMINAL|MEDIUM|KAGS
87747|EMT|El Monte|NDB|359|34.08829879760742|-118.03099822998047|305|US|13.052|TERMINAL|LOW|
87748|EN|Essendon|NDB|356|-37.72669982910156|144.91099548339844||AU|11.344|BOTH|MEDIUM|YMEN
87749|EN|Shymkent|NDB|360|42.377601623535156|69.41690063476562||KZ|5.173|BOTH|MEDIUM|UAII
87750|EN|Enugu|NDB|394|6.4787797927856445|7.588799953460693||NG|-2.298|TERMINAL|LOW|DNEN
87751|EN|Orebro|NDB|400|59.29100036621094|15.065099716186523||SE|3.023|BOTH|HIGH|ESOE
87752|EN|Menderes|NDB|315|38.266700744628906|27.161699295043945||TR|3.437|LO|LOW|LTBJ
87753|EN|Rikky|NDB|426|41.219600677490234|-95.81790161132812|983|US|3.437|TERMINAL|LOW|KOMA
87754|ENA|Kenai|VOR-DME|117600|60.61470031738281|-151.19500732421875|114|US|19.372|BOTH|HIGH|PAEN
87755|END|Vance|VORTAC|115400|36.345001220703125|-97.91829681396484|1304|US|5.197|TERMINAL|HIGH|KEND
87756|END|Eggenfelden|DME|115400|48.39440155029297|12.7253999710083|1381|DE|1.561|TERMINAL|LOW|EDME
87757|ENE|Kennebunk|VORTAC|117100|43.42570114135742|-70.6135025024414|190|US|-15.588|BOTH|HIGH|
87758|ENG|Enugu|VOR-DME|115700|6.468550205230713|7.60122013092041|455|NG|-2.297|BOTH|HIGH|DNEN
87759|ENH|Enshi|VOR-DME|114700|30.29170036315918|109.5979995727539|3450|CN|-2.484|BOTH|HIGH|
87760|ENI|Mendocino|VORTAC|112300|39.053199768066406|-123.27400207519531|2980|US|15.134|BOTH|HIGH|KUKI
87761|ENL|Centralia|VORTAC|115000|38.41999816894531|-89.15899658203125|550|US|-1.126|BOTH|HIGH|
87762|ENM|Emmonak|VOR-DME|117800|62.78459930419922|-164.48800659179688|5|US|13.521|BOTH|HIGH|PAEM
87763|ENN|Nenana|VORTAC|115800|64.58999633789062|-149.072998046875|1600|US|21.522|BOTH|HIGH|PANN
87764|ENO|Smyrna|VORTAC|111400|39.2317008972168|-75.51589965820312|10|US|-11.473|BOTH|MEDIUM|KDOV
87765|ENO|Mariano Moreno|VOR-DME|112900|-34.562801361083984|-58.79059982299805|105|AR|-6.449|BOTH|HIGH|SADJ
87766|ENO|Enodak|VOR-DME|117100|68.38130187988281|23.46179962158203|1127|FI|8.349|RNAV|HIGH|EFET
87767|ENS|Yeniseysk|VOR-DME|112300|58.46670150756836|92.11830139160156|253|RU|5.509|BOTH|HIGH|
87768|ENS|Ennis|NDB|352|52.90520095825195|-8.927769660949707||IE|-6.08|BOTH|LOW|EINN
87769|ENS|Ensenada|NDB|400|31.795900344848633|-116.60700225830078|66|MX|12.182|LO|MEDIUM|MMES
87770|ENW|Kenosha|VOR-DME|109200|42.599098205566406|-87.93170166015625|735|US|-3.006|TERMINAL|LOW|KENW
87771|ENW|Emden|DME|115250|53.38909912109375|7.229139804840088|50|DE|0.093|TERMINAL|MEDIUM|EDWE
87772|ENY|Kennedy|NDB|254|46.55289840698242|-90.91449737548828|826|US|-1.108|TERMINAL|LOW|
87773|ENZ|Nogales|NDB|394|31.42140007019043|-110.84600067138672|3915|US|10.494|TERMINAL|MEDIUM|KOLS
87774|EOE|Enoree|NDB|278|34.311500549316406|-81.63600158691406|558|US|-6.145|TERMINAL|LOW|
87775|EOG|Greensboro|NDB|417|32.60240173339844|-87.66310119628906|160|US|-1.295|TERMINAL|LOW|
87776|EOK|Keokuk|NDB|366|40.464698791503906|-91.43360137939453|670|US|0.198|LO|LOW|
87777|EON|Peotone|VORTAC|113200|41.26959991455078|-87.79109954833984|690|US|-2.508|LO|MEDIUM|KIKK
87778|EON|Leon|VOR-DME|112000|42.59379959106445|-5.646140098571777|3013|ES|-3.052|BOTH|LOW|LELN
87779|EOP|Waverly|NDB|385|39.166900634765625|-82.93219757080078|660|US|-6.224|TERMINAL|LOW|
87780|EOS|Neosho|VOR-DME|117300|36.84239959716797|-94.43569946289062|1200|US|2.58|BOTH|HIGH|KJLN
87781|EPH|Ephrata|VORTAC|112600|47.377899169921875|-119.42400360107422|1250|US|16.561|BOTH|HIGH|
87782|EPL|Epinal|VOR|113000|48.31779861450195|6.059420108795166|1154|FR|0.071|BOTH|HIGH|LFSG
87783|EPL|El Pinal|NDB|237|7.518610000610352|-71.96369934082031|59|VE|-7.342|LO|MEDIUM|SVSO
87784|EPM|Epsom|NDB|316|51.319400787353516|-0.37194401025772095||GB|-2.207|LO|LOW|
87785|EPM|Eastport|NDB|260|44.912498474121094|-67.01219940185547|46|US|-18.022|LO|LOW|
87786|EPO|Comandante Espora|NDB|370|-38.7338981628418|-62.16279983520508|246|AR|-1.179|BOTH|HIGH|SAZB
87787|EPO|El Paso|NDB|225|4.472780227661133|-75.55670166015625|10803|CO|-4.351|LO|MEDIUM|SKPE
87788|EPP|Epping|NDB|377|-37.67169952392578|145.0260009765625||AU|11.364|BOTH|MEDIUM|YMML
87789|EPR|Epernon|VOR-DME|115650|48.625701904296875|1.656559944152832|518|FR|-1.171|BOTH|HIGH|
87790|EQA|El Dorado|NDB|383|37.77949905395508|-96.81639862060547|1370|US|4.35|TERMINAL|LOW|
87791|EQQ|Coweta County|NDB|234|33.25680160522461|-84.71269989013672||US|-3.458|TERMINAL|LOW|
87792|EQU|Arequipa|VOR-DME|113700|-16.338899612426758|-71.59750366210938|8405|PE|-2.536|BOTH|HIGH|SPQU
87793|EQZ|Captain|NDB|308|38.86750030517578|-85.9729995727539|592|US|-3.517|TERMINAL|LOW|
87794|ER|Yerevan|NDB|496|40.14590072631836|44.482398986816406||AM|5.179|TERMINAL|LOW|
87795|ER|Yegorlykskaya|NDB|435|46.58330154418945|40.66669845581055||RU|6.511|BOTH|HIGH|
87796|ER|Ellisras|NDB|345|-23.748600006103516|27.623300552368164||ZA|-14.295|BOTH|MEDIUM|FAER
87797|ER|Erzurum|NDB|434|39.959999084472656|41.294700622558594||TR|5.087|TERMINAL|LOW|LTCE
87798|ER|Shein|NDB|263|29.915000915527344|-99.0093994140625|1592|US|5.544|TERMINAL|LOW|
87799|ER|Esmer|NDB|349|42.03860092163086|-80.25540161132812||US|-9.174|TERMINAL|LOW|KERI
87800|ERA|Errachidia|VOR-DME|117100|31.9242000579834|-4.360559940338135|3432|MA|-2.163|BOTH|HIGH|GMFK
87801|ERD|Erding|TACAN|113600|48.324798583984375|11.952799797058105|1545|DE|1.443|BOTH|MEDIUM|ETSE
87802|ERD|Erdemir|NDB|401|41.254398345947266|31.41830062866211|14|TR|4.353|LO|LOW|
87803|ERE|Ceres|VOR-DME|115500|-29.86440086364746|-61.87220001220703|287|AR|-6.203|BOTH|HIGH|
87804|ERE|Eren|VOR-DME|114900|43.638301849365234|111.9530029296875|3203|CN|-5.372|BOTH|HIGH|
87805|ERF|Erfurt|VOR-DME|113850|50.95090103149414|11.236700057983398|1325|DE|1.321|RNAV|LOW|EDDE
87808|ERH|Erhac|NDB|421|38.46329879760742|38.11220169067383||TR|4.417|BOTH|HIGH|LTAT
87806|ERH|Malatya|VOR|112000|38.46329879760742|38.11220169067383|2723|TR|4.416|BOTH|HIGH|LTAT
87807|ERH|Erhac|TACAN|113500|38.44160079956055|38.08620071411133|2858|TR|4.413|BOTH|LOW|LTAT
87809|ERI|Erie|VORTAC|109400|42.017398834228516|-80.2927017211914|800|US|-9.152|LO|MEDIUM|KERI
87810|ERK|Erken|NDB|383|59.89619827270508|18.33690071105957||SE|4.259|TERMINAL|LOW|
87811|ERL|Erlangen|VOR-DME|114900|49.655399322509766|11.150799751281738|1841|DE|1.313|LO|HIGH|
87812|ERN|Erzincan|VOR-DME|112700|39.70830154418945|39.52920150756836|3757|TR|5.002|BOTH|HIGH|LTCD
87813|ERN|Erzincan|NDB|430|39.70830154418945|39.52920150756836|3793|TR|5.002|TERMINAL|LOW|LTCD
87814|ERO|Quintero|NDB|384|-32.73889923095703|-71.49669647216797|46|CL|3.518|LO|MEDIUM|SCER
87815|ERP|Eirunepe|NDB|265|-6.660999774932861|-69.87249755859375|412|BR|-6.408|LO|MEDIUM|SWEI
87816|ERT|Erfurt|NDB|425|50.982601165771484|10.92300033569336|1036|DE|1.265|BOTH|LOW|EDDE
87817|ERV|Ellisras|VOR-DME|116300|-23.625200271606445|27.964399337768555|3790|ZA|-14.244|BOTH|HIGH|FAER
87818|ERY|Newberry|VOR-DME|108200|46.312801361083984|-85.46430206298828|871|US|-6.148|LO|LOW|
87819|ERZ|Erzurum|TACAN|111400|39.95880126953125|41.153099060058594|5763|TR|5.081|BOTH|LOW|LTCE
87820|ERZ|Erzurum|VOR-DME|115500|39.95750045776367|41.20719909667969|5774|TR|5.082|BOTH|HIGH|LTCE
87821|ERZ|Erzurum|NDB|354|39.95640182495117|41.20690155029297||TR|5.084|BOTH|HIGH|LTCE
87822|ES|Egilsstadir|NDB|365|65.2385025024414|-14.45199966430664||IS|-13.176|BOTH|MEDIUM|BIEG
87823|ES|Eshowe|NDB|203|-28.8882999420166|31.448299407958984||ZA|-22.458|BOTH|MEDIUM|FAES
87824|ES|Andra|NDB|223|31.392099380493164|-92.18199920654297||US|1.479|TERMINAL|LOW|KESF
87825|ES|Pikle|NDB|344|45.72269821166992|-87.22480010986328||US|-4.26|TERMINAL|LOW|
87826|ESC|Soto Cano|VORTAC|114900|14.391900062561035|-87.62210083007812|2062|HN|1.057|TERMINAL|HIGH|MHSC
87827|ESC|Escanaba|VOR-DME|110800|45.722599029541016|-87.089599609375|600|US|-4.335|LO|MEDIUM|
87828|ESF|Esler|VORTAC|117900|31.447500228881836|-92.3218994140625|195|US|1.532|LO|HIGH|
87829|ESG|Rollins|NDB|260|43.22010040283203|-70.82830047607422|77|US|-15.479|TERMINAL|LOW|
87830|ESH|Shahid Vatan Pour|NDB|413|32.56650161743164|51.69369888305664|5310|IR|3.166|TERMINAL|LOW|OIFH
87831|ESK|Eskisehir|TACAN|114400|39.78369903564453|30.606300354003906|2599|TR|4.172|BOTH|LOW|LTBI
87832|ESL|East Sale|TACAN|113500|-38.10219955444336|147.1540069580078|23|AU|12.399|BOTH|HIGH|YMES
87833|ESL|Kessel|VOR-DME|110800|39.22549819946289|-78.989501953125|2590|US|-9.239|BOTH|MEDIUM|
87834|ESL|East Sale|NDB|350|-38.11140060424805|147.15899658203125|23|AU|12.403|BOTH|HIGH|YMES
87835|ESM|Esmeraldas|NDB|215|0.9708330035209656|-79.62940216064453|32|EC|-1.105|BOTH|HIGH|SETN
87836|ESN|Easton|NDB|212|38.804901123046875|-76.06939697265625|74|US|-11.182|TERMINAL|LOW|
87837|ESP|Espichel|VORTAC|112500|38.42430114746094|-9.185779571533203|648|PT|-3.589|BOTH|HIGH|
87838|ESP|Esperance|VOR-DME|114200|-33.680599212646484|121.8239974975586|460|AU|0.36|BOTH|HIGH|YESP
87839|ESP|Esperance|NDB|326|-33.6869010925293|121.8270034790039|470|AU|0.36|BOTH|HIGH|YESP
87840|ESP|Espoo|NDB|381|60.24829864501953|24.79640007019043||FI|7.045|TERMINAL|LOW|EFHK
87841|ESQ|Esquel|VOR-DME|117800|-42.88719940185547|-71.10030364990234|2585|AR|8.558|BOTH|HIGH|SAVE
87842|ESR|Eskisehir|VOR-DME|108200|39.8130989074707|30.509700775146484|2585|TR|4.169|BOTH|HIGH|LTBY
87843|ESR|Eskisehir|NDB|372|39.8130989074707|30.521099090576172|2589|TR|4.169|BOTH|MEDIUM|LTBY
87844|ESS|Essaouira|VOR-DME|112700|31.401199340820312|-9.686960220336914|39|MA|-3.598|BOTH|HIGH|GMMI
87845|ESS|Esse|NDB|398|63.63679885864258|23.108999252319336||FI|7.119|BOTH|LOW|EFKK
87846|ESS|Wessels|NDB|260|59.42660140991211|-146.34300231933594||US|20.533|TERMINAL|MEDIUM|
87847|EST|Estherville|VOR|110400|43.40909957885742|-94.74440002441406|1320|US|2.426|LO|LOW|
87848|ESU|Summerdale|NDB|204|30.499399185180664|-87.72579956054688|60|US|-1.091|TERMINAL|LOW|
87849|ESV|Esmeraldas|VOR-DME|115700|0.9890829920768738|-79.62670135498047|26|EC|-1.108|BOTH|HIGH|SETN
87850|ET|Bethel|NDB|344|60.796600341796875|-161.8209991455078||US|14.527|TERMINAL|MEDIUM|PABE
87851|ETC|Tarboro|NDB|257|35.93539810180664|-77.54640197753906|44|US|-9.318|TERMINAL|LOW|
87852|ETG|Keating|VORTAC|116000|41.21500015258789|-78.1427993774414|2250|US|-10.366|BOTH|HIGH|
87853|ETH|Wheaton|NDB|326|45.78329849243164|-96.5468978881836|1225|US|4.008|TERMINAL|LOW|
87854|ETI|Etimesgut|TACAN|116600|39.95750045776367|32.674598693847656|2622|TR|4.314|BOTH|LOW|LTAD
87855|ETL|Cones|VOR-DME|110200|38.04029846191406|-108.25900268554688|8460|US|10.554|LO|MEDIUM|CO95
87856|ETX|East Texas|VOR-DME|110200|40.58100128173828|-75.68399810791016|750|US|-12.058|BOTH|MEDIUM|
87857|EU|Frakk|NDB|260|44.212799072265625|-123.22000122070312|322|US|16.44|TERMINAL|LOW|KEUG
87858|EUD|York|NDB|254|39.91999816894531|-76.87760162353516|523|US|-11.057|TERMINAL|LOW|
87859|EUF|Eufaula|VORTAC|109200|31.950199127197266|-85.13050079345703|280|US|-3.137|LO|MEDIUM|
87860|EUG|Eugene|VORTAC|112900|44.12089920043945|-123.2229995727539|364|US|16.423|BOTH|HIGH|KEUG
87861|EUR|Eurach|VOR-DME|115200|47.73500061035156|11.24940013885498|2279|DE|1.335|RNAV|HIGH|
87862|EUR|Eureka|NDB|392|48.96390151977539|-115.09200286865234|2732|US|16.022|LO|MEDIUM|
87863|EUU|Jnall|NDB|251|35.6068000793457|-78.35440063476562|250|US|-8.536|TERMINAL|LOW|
87864|EV|Inuvik|NDB|254|68.32610321044922|-133.59300231933594||CA|28.405|BOTH|HIGH|CYEV
87865|EV|Vicci|NDB|219|38.12670135498047|-87.44080352783203|440|US|-2.321|TERMINAL|LOW|KEVV
87866|EVB|New Smyrna Beach|NDB|417|29.05419921875|-80.94139862060547|12|US|-5.406|TERMINAL|LOW|
87867|EVD|Evenes|VOR-DME|117350|68.4572982788086|16.681699752807617|153|NO|4.434|RNAV|HIGH|ENEV
87868|EVG|El Vigia|NDB|393|8.6225004196167|-71.66449737548828|250|VE|-7.565|LO|MEDIUM|SVVG
87869|EVM|Eveleth|VOR-DME|108200|47.424400329589844|-92.50189971923828|1376|US|0.086|TERMINAL|LOW|
87870|EVS|Evenes|TACAN|134000|68.49130249023438|16.675100326538086|103|NO|4.435|BOTH|HIGH|ENEV
87871|EVU|Emville|NDB|317|40.34830093383789|-94.91549682617188|1130|US|3.057|TERMINAL|LOW|
87872|EVW|Evanston|VOR-DME|109600|41.272499084472656|-111.0469970703125|7131|US|12.347|LO|LOW|
87873|EVX|Evreux|VORTAC|112400|49.031700134277344|1.2208600044250488|499|FR|-1.285|BOTH|HIGH|LFOE
87874|EVZ|Cartersville|NDB|308|34.19960021972656|-84.84310150146484|773|US|-3.502|TERMINAL|LOW|
87875|EW|Katfi|NDB|362|35.021400451660156|-77.07959747314453|35|US|-9.368|TERMINAL|LOW|KEWN
87876|EW|Nefor|NDB|274|41.62160110473633|-71.0177001953125||US|-15.081|TERMINAL|LOW|KEWB
87877|EW|Chesa|NDB|241|40.59370040893555|-74.2300033569336||US|-13.01|TERMINAL|LOW|KEWR
87878|EWA|Kewanee|VORTAC|113800|32.366798400878906|-88.4583969116211|300|US|-0.531|BOTH|MEDIUM|
87879|EWC|Ellwood City|VORTAC|115800|40.825199127197266|-80.21160125732422|1220|US|-8.571|BOTH|HIGH|
87880|EWK|Newton|NDB|281|38.0640983581543|-97.27349853515625|1528|US|4.533|TERMINAL|LOW|
87881|EWM|Newman|VORTAC|112400|31.95170021057129|-106.27200317382812|4040|US|9.202|BOTH|MEDIUM|KBIF
87882|EWN|New Bern|VOR-DME|113600|35.07310104370117|-77.04509735107422|10|US|-9.39|LO|MEDIUM|KEWN
87883|EWO|New Hope|VOR-DME|110800|37.63180160522461|-85.6759033203125|960|US|-3.509|LO|MEDIUM|
87884|EWP|Newport|NDB|400|35.641998291015625|-91.18070220947266|237|US|0.423|TERMINAL|LOW|
87885|EX|Rutland|NDB|374|49.939701080322266|-119.3759994506836|1409|CA|17.468|LO|LOW|CYLW
87886|EY|Kaukey|NDB|510|45.266700744628906|61.766700744628906||KZ|7.071|BOTH|MEDIUM|
87887|EY|Chesi|NDB|233|36.59980010986328|-76.38189697265625|17|US|-10.289|TERMINAL|LOW|
87888|EYA|Eastport|NDB|357|30.423599243164062|-81.6093978881836|15|US|-5.278|TERMINAL|LOW|KJAX
87889|EYP|El Yopal|VOR-DME|115600|5.276939868927002|-72.42579650878906|903|CO|-6.526|LO|HIGH|SKYP
87890|EYQ|Weiser|NDB|286|29.933900833129883|-95.64099884033203||US|4.027|TERMINAL|LOW|
87891|EYW|Key West|VORTAC|113500|24.585899353027344|-81.80049896240234|10|US|-4.14|BOTH|HIGH|KNQX
87892|EZ|Lizah|NDB|373|40.6072998046875|-74.21800231933594|10|US|-13.017|TERMINAL|LOW|KEWR
87893|EZA|Elorza|NDB|240|7.058330059051514|-69.49199676513672||VE|-9.088|BOTH|MEDIUM|SVEZ
87894|EZE|Ezeiza|VOR-DME|116500|-34.82419967651367|-58.535301208496094|66|AR|-6.498|BOTH|HIGH|SAEZ
87895|EZE|Engel|NDB|226|41.48889923095703|-81.7228012084961|617|US|-7.578|TERMINAL|LOW|KCLE
87896|EZF|Shannon|NDB|237|38.26639938354492|-77.45079803466797|73|US|-10.132|TERMINAL|LOW|
87897|EZI|Kewanee|NDB|245|41.20109939575195|-89.95929718017578|856|US|-1|LO|LOW|
87898|EZM|Eastman|NDB|366|32.13420104980469|-83.15390014648438|325|US|-4.417|TERMINAL|LOW|
87899|EZS|Elazig|VOR-DME|114700|38.70690155029297|39.22439956665039|4875|TR|4.475|BOTH|HIGH|LTCA
87900|EZS|Elazig|NDB|338|38.60649871826172|39.29880142211914|2963|TR|4.466|BOTH|HIGH|LTCA
87901|EZY|Elk City|NDB|241|35.425899505615234|-99.39810180664062|1971|US|6.134|LO|LOW|
87902|EZZ|Cameron|NDB|394|39.72919845581055|-94.27220153808594|1042|US|2.39|TERMINAL|LOW|
87903|F|Formosa|NDB|300|-26.23240089416504|-58.238399505615234|192|AR|-11.045|TERMINAL|MEDIUM|
87904|F|Rosario|NDB|305|-32.88240051269531|-60.779701232910156|85|AR|-5.511|TERMINAL|MEDIUM|
87905|F|Sofia|NDB|375|42.697200775146484|23.376100540161133||BG|3.413|TERMINAL|LOW|LBSF
87906|F|Pruszcz Gdanski|NDB|300|54.24509811401367|18.69930076599121||PL|3.54|TERMINAL|LOW|EPPR
87907|F|Ivano-Frankovsk|NDB|598|48.87969970703125|24.71489906311035||UA|4.445|TERMINAL|LOW|
87908|F|Simferopol|NDB|285|45.07609939575195|33.9818000793457||UA|5.376|TERMINAL|LOW|
87909|F|Yuzhny|NDB|588|41.26139831542969|69.3102035522461||UZ|4.508|BOTH|MEDIUM|
87910|F4|Little Cornwallis Island|NDB|402|75.39409637451172|-96.94599914550781|234|CA|-28.593|BOTH|MEDIUM|
87911|F6|Chetwynd|NDB|210|55.694400787353516|-121.53700256347656||CA|20.408|LO|LOW|CYCQ
87912|F7|Georgian Bay|NDB|353|45.26890182495117|-79.83670043945312|832|CA|-10.448|LO|MEDIUM|CNK4
87913|F8|Victoriaville|NDB|384|46.110599517822266|-71.9271011352539|486|CA|-16.247|LO|LOW|CSR3
87914|F9|Miramichi|NDB|520|47.0099983215332|-65.46749877929688|110|CA|-19.242|LO|LOW|CYCH
87915|F9|Miramichi|DME|110900|47.0093994140625|-65.46690368652344|110|CA|-19.242|LO|HIGH|CYCH
87916|FA|Faleolo|VOR-DME|113900|-13.824299812316895|-171.98899841308594|58|WS|11.261|BOTH|HIGH|NSFA
87917|FA|Sarh|NDB|429|9.15110969543457|18.3794002532959|1257|TD|0.094|BOTH|LOW|FTTA
87918|FA|Tahiti Faaa|NDB|305|-17.55299949645996|-149.61399841308594|10|PF|12.449|TERMINAL|MEDIUM|NTAA
87919|FA|Fak Fak|NDB|380|-2.933500051498413|132.2480010986328|240|ID|2.321|BOTH|MEDIUM|WASF
87920|FA|Faisalabad|NDB|212|31.37030029296875|72.99500274658203|654|PK|1.299|BOTH|MEDIUM|OPFA
87921|FA|Wearr|NDB|510|64.8998031616211|-147.70700073242188||US|22.33|TERMINAL|MEDIUM|PAFA
87922|FA|Faleolo|NDB|270|-13.822799682617188|-172.01699829101562|123|WS|11.261|BOTH|HIGH|NSFA
87923|FA|Victoria Falls|NDB|256|-18.07029914855957|25.764999389648438||ZW|-8.027|BOTH|LOW|FVFA
87924|FAF|Felker|NDB|226|37.13880157470703|-76.61859893798828|12|US|-10.282|TERMINAL|LOW|
87925|FAG|Antofagasta|VOR-DME|114900|-23.466899871826172|-70.44779968261719|305|CL|-1.2|BOTH|HIGH|SCFA
87926|FAH|Falls|VOR-DME|110000|43.76890182495117|-87.84829711914062|744|US|-3.211|LO|MEDIUM|
87927|FAI|Fairbanks|VORTAC|108600|64.80010223388672|-148.01199340820312|1493|US|22.231|BOTH|HIGH|PAFA
87928|FAK|Flat Rock|VORTAC|113300|37.528499603271484|-77.82820129394531|460|US|-9.453|BOTH|HIGH|
87929|FAL|Falconara|TACAN|109800|43.576900482177734|13.299500465393066|208|IT|1.583|BOTH|HIGH|LIPY
87930|FAL|Falconara|NDB|358|43.62820053100586|13.373499870300293|81|IT|1.593|BOTH|LOW|LIPY
87931|FAM|Farmington|VORTAC|115700|37.67340087890625|-90.23400115966797|1220|US|-0.152|BOTH|HIGH|
87932|FAR|Fargo|VORTAC|116200|46.75339889526367|-96.85130310058594|910|US|4.12|BOTH|HIGH|KFAR
87933|FAR|Faro|NDB|332|37.00870132446289|-7.925930023193359||PT|-3.283|TERMINAL|LOW|LPFR
87934|FAU|Fairview|NDB|246|36.28519821166992|-98.47799682617188|1273|US|5.408|TERMINAL|LOW|
87935|FAY|Fayetteville|VOR-DME|108800|34.98550033569336|-78.8750991821289|180|US|-8.227|LO|MEDIUM|KFAY
87936|FB|Tramandai|NDB|300|-29.996299743652344|-50.14500045776367||BR|-15.503|LO|MEDIUM|
87937|FB|Kaiyuan|NDB|512|42.56669998168945|124.01699829101562||CN|-8.524|BOTH|LOW|
87938|FB|Kolpashevo|NDB|410|58.369998931884766|82.91670227050781||RU|10.531|TERMINAL|HIGH|
87939|FB|Ficksburg|NDB|390|-28.827499389648438|27.90250015258789|5315|ZA|-21.19|BOTH|MEDIUM|FAFB
87961|FBC|FLAG CITY|VORTAC|108200|40.955299377441|-83.755996704102|823|US|-2|LO|MEDIUM|
87940|FBR|Fort Bridger|VOR-DME|108600|41.37839889526367|-110.42400360107422|7060|US|12.225|LO|MEDIUM|
87941|FBS|Forbes|NDB|486|-33.364200592041016|147.92799377441406||AU|11.204|BOTH|MEDIUM|YFBS
87942|FBU|Bouar|NDB|388|5.954130172729492|15.639200210571289|3419|CF|-0.505|BOTH|MEDIUM|FEFO
87943|FBY|Fairbury|NDB|293|40.176700592041016|-97.16590118408203|1450|US|4.46|TERMINAL|LOW|
87944|FC|Fredericton|NDB|326|45.917301177978516|-66.59970092773438|67|CA|-18.353|LO|MEDIUM|CYFC
87945|FC|Fujiazhuang|NDB|414|38.87329864501953|121.63700103759766||CN|-7.21|BOTH|MEDIUM|ZYTL
87946|FC|Dalverzin|NDB|955|40.400001525878906|69.2833023071289||UZ|4.31|BOTH|MEDIUM|
87947|FCA|Kalispell|VOR-DME|113200|48.2140998840332|-114.1760025024414|2984|US|15.276|LO|MEDIUM|
87948|FCH|Chandler|NDB|344|36.723899841308594|-119.83399963378906|278|US|14.032|LO|MEDIUM|
87949|FCM|Flying Cloud|VOR-DME|111800|44.82569885253906|-93.45680236816406|900|US|1.269|LO|MEDIUM|KFCM
87950|FCS|Butts|VOR-DME|108800|38.68069839477539|-104.75700378417969|5829|US|9.225|LO|LOW|KFCS
87951|FCY|Forrest City|NDB|332|34.941001892089844|-90.77359771728516|249|US|0.289|TERMINAL|LOW|
87952|FD|Brantford|NDB|207|43.07339859008789|-80.41619873046875||CA|-9.3|LO|LOW|CYFD
87953|FD|Earli|NDB|278|36.66910171508789|-90.32839965820312|315|US|-0.05|TERMINAL|LOW|
87954|FD|Tashkent|NDB|285|41.26459884643555|69.34369659423828||UZ|4.507|BOTH|MEDIUM|UTTT
87955|FDF|Fayette|NDB|204|33.714599609375|-87.8135986328125|359|US|-1.325|TERMINAL|LOW|
87956|FDK|Frederick|VOR|109000|39.412200927734375|-77.3750991821289|299|US|-10.361|TERMINAL|LOW|
87957|FDO|San Fernando|VOR-DME|114400|-34.45140075683594|-58.58420181274414|49|AR|-6.595|BOTH|HIGH|SADF
87958|FDR|Frederick|NDB|222|34.35380172729492|-98.98650360107422|1255|US|5.578|TERMINAL|LOW|
87959|FDV|Fort Davis|NDB|529|64.49459838867188|-165.31399536132812||US|13.439|BOTH|MEDIUM|PAOM
87960|FDW|Winnsboro|NDB|414|34.31439971923828|-81.11270141601562|550|US|-6.375|TERMINAL|LOW|
87962|FE|Forestville|NDB|239|48.72999954223633|-69.16329956054688||CA|-18.583|LO|MEDIUM|CYFE
87963|FE|Fiumicino|NDB|354|41.83140182495117|12.351099967956543||IT|1.444|TERMINAL|LOW|LIRF
87964|FE|Oktyabrsky|NDB|570|54.233299255371094|38.900001525878906||RU|9.2|BOTH|HIGH|
87965|FE|Kukan|NDB|942|49.21670150756836|133.4499969482422||RU|-11.561|BOTH|HIGH|
