Manufacturer|Model|EngineType|pwrEachEngine|maxSpeed|cruiseSpeed|StallSpeedDirty|fuelWeight|serviceCeiling|rateOfClimb|takeoffOver50ft|takeoffGroundRun|landingOver50ft|landingGroundRoll|grossWeight|emptyWeight|length|height|wingSpan|rangeNM
RAM Aircraft LP|RAM T310-I (-P & -Q)|Piston|300|316|299|||||||||5700|NC|Orig|Orig|Orig|
RAM Aircraft LP|RAM T210 (G-J)|Piston|310|+5|+7|||||||||NC|NC|Orig|Orig|Orig|
RAM Aircraft LP|RAM T206-I (A-F)|Piston|310|+5|+7|||||||||NC|NC|Orig|Orig|Orig|
RAM Aircraft LP|RAM 172 (1963-'76)|Piston|160|+3|+4|||||||||NC|NC|Orig|Orig|Orig|
RAM Aircraft LP|RAM PA 28-140/151|Piston|160|+3|+4|||||||||NC|NC|Orig|Orig|Orig|
Remos Aircraft, Inc.|G3|Piston|100|120|113|39|22|15000|1300|600|330||590|1320|625|21/5|5/6|32/4|550
Riley Super Skyrocket|Jet Prop 421 C|Propjet|850|310||||30000|4000|||||||Orig|Orig|Orig|
Riley Super Skyrocket|Jet Prop 421 (Cessna 421 conversion)|Propjet|600|260|222||1,940|30000|2500||1000|2250|250|7450||Orig|Orig|Orig|
Riley Super Skyrocket|414 Rocket (Cessna 414 conversion)|Piston|400|261|243||240|30000|2250|||||6825||Orig|Orig|Orig|
Riley Super Skyrocket|340 Rocket (Cessna 340 conversion)|Piston|350|252|240||203|30000|2150|||1840||6290||Orig|Orig|Orig|
Riley Super Skyrocket|Super 340 (Cessna 340 conversion)|Piston|310|252|235|70|100|32000|1800|1950|1500|1840|1760|5975|+22lb|Orig|Orig|Orig|
Riley Super Skyrocket|TurboStream (Cessna 310 & 320 conv) 350hp|Piston|350|283|261|73|100|35000|2900|1340|1000|1790|640|5400|+150 lb|Orig|Orig|Orig|
Riley Super Skyrocket|TurboStream (Cessna 310 & 320 conv) 310hp|Piston|310|274|252|73|100|35000|2100|1440|1100|1790|640|5400|+150 lb|Orig|Orig|Orig|
Riley Super Skyrocket|Turbo Rocket (Cessna 310 conversion)|Piston|290|270|263|62|170|35000|2200|985||1750||4830|3300|Orig|Orig|Orig|
Riley Super Skyrocket|Rocket (Cessna 310 conversion)|Piston|290|230|219|62|170|22500|2000|985||1750||4830|3100|Orig|Orig|Orig|
Rocket Engineering / JetPROP LLC|305 Rocket|TSIO 520|305|230|215|60|75|24000|1800|1200|800|1500|900|3200|2070|25/5|8/4|36/1|900
Rocket Engineering / JetPROP LLC|300 Missle|IO550|300|185|180|60|64|18800|1700|1200|800|1500|900|3200|2010|25/5|8/4|36/1|767
Rocket Engineering / JetPROP LLC|JetProp DLX|PT6A-35|560|265+|262|60|151|27000|3000|1200|800|1000|800|4318|2900|30/1|11/3|43|1000
Rocket Engineering / JetPROP LLC|JetProp DL|PT6A-21|550|254+|250|60|151|27000|2500|1200|800|1000|800|4318|2900|30/1|11/3|43|1000
Rocket Engineering / JetPROP LLC|TurbineAir|PT6A-21|500|250+|245|56|120|25000|2500|1150|750|1000|600|4021|2800|30/6|8/5|37/10|900
Rockwell Meyers 200|200 D Meyers (Prop Jets, Inc.)|Piston|285|187|183|47|80|18500|1450|1150|900|1150|850|3000|1940|24/4|7/4|30/6|746
Rockwell Meyers 200|200 B Meyers (Prop Jets, Inc.)|Piston|260|188|170|54|40|19700|1245|1260|1010|1150|850|3000|1975|24/4|8/6|30/5|370
Rockwell Meyers 200|200 Meyers (Prop Jets, Inc.)|Piston|260|188|170|50|70|18500|1150|1375|1100|1150|850|3000|1870|24/5|8/5|30/5|688
Rockwell Meyers 200|100-180 Lark (S.L. Industries)|Piston|180|120|115|55|44|11000|648|1575|875|1280|675|2450|1532|24/9|10/1|35/0|470
Rockwell Meyers 200|100 Darter (S.L. Industries)|Piston|150|116|111|51|44|13000|785|1550|870|1215|650|2250|1280|22/6|9/4|35/0|610
Rockwell Meyers 200|100 (Formerly Volair) (S.L. Industries)|Piston|135|123|111|42|44|13000|850|950|750|750|650|2250|1280|22/6|9/4|35/0|642
Rockwell Meyers 200|A9 Quail & Sparrow (See Aircraft Parts & Dev.)||||||||||||||||||
Rockwell Meyers 200|B1,B1A AG Commander (S.L. Industries)|Piston|450|103|91|59|40|14000|650|800|600|670|447|3000|1600|24/0|8/0|35/0|273
Sabreliner Corp.|Sabre 75A|Jet|4,500|490|436|89|7,380|45000|4500|4380||2625||23000|13200|47/2|17/3|44/5|1483
Sabreliner Corp.|Sabre 75|Jet|3,300|490|430|89|7,380|45000|4000|5500||2760||21000|12200|47/2|17/3|44/5|2520
Sabreliner Corp.|Sabre 65|Jet|3,700|464|424|82|8,844|45000|3540|5895||2720||24000|13754|46/11|16/0|50/5|2480
Sabreliner Corp.|Sabre 60|Jet|3,300|490|430|86|7,122|45000|4700|5300||2365||20172|11250|46/11|16/0|44/8|1640
Sabreliner Corp.|Sabre 40A|Jet|3,300|490|430|83|7,122|45000|4700|4900||2350||19612|10500|43/9|16/0|44/4|1640
Sabreliner Corp.|NA265 (40 Sabreliner) 8 engines|Jet|3,300|490|430|83|7,122|45000|5050|4450||2250||18650|10500|43/9|16/0|44/4|1640
Sportair USA LC|Sting Sport S3|Piston|100 hp|120|116|34|21.5||1000|745|295|1020|345|1320|780|20/4|6/4|29/11|495
Stinson|108-3|Piston|165|124|105|57|50|850|980|1500||940||2400|1300|25/2|7/5|34/0|594
Stinson|108-1|Piston|150|122|103|54|50|16800|875|1350|945|1400|940|2100|1175|25/2|7/5|34/0|600
Swift|GC-1B|Piston|125|130|122|43|30|16000|1000|1185|830|880|650|1710|1125|20/9|6/1|29/3|432
Symphony Aircraft Industries|SA-160|Piston|160|162|128|48|30|16400|850|1214|919|1837|755|2150|1450|22/8|9/25|35|
Taylorcraft Inc.|F-21B|Piston|118|109|100|42|40|18000|750|1140|720||500|1750|1040|22/3|6/6|36/0|296
Taylorcraft Inc.|F-21,F-21A (-21A=40 gal fuel + empty wgt=1,000)|Piston|115|109|103|37|24|18000|875|350|275|350||1500|990|22/3|6/6|36/0|296
Taylorcraft Inc.|F-19, Sportsman 100|Piston|100|110|100|37|24|18000|775|375|300|375||1500|900|22/1|6/6|36/0|290
Tradewind Turbines|A-36 Bonanza Prop Jet|Propjet|450|220|220|57|114|25000|2500|900|600|525|325|3849|2400|29/2|8/7|33/5|985
Twin Commander A/C|1000 Jet Prop|Propjet|820|309|303|77|474|35500|2802|2131|1407|2186|1395|11200|7192|42/11|14/11|52/1|2080
Twin Commander A/C|980 Jet Prop|Propjet|733|310|303|75|474|37100|2777|1830|1299|1958|1277|10325|6727|42/11|14/11|52/1|2040
Twin Commander A/C|900 Jet Prop|Propjet|748|290|286|77|425|32245|2779|1937|1411|2202|1387|10700|6992|42/11|14/11|52/1|1722
Twin Commander A/C|690B,I,II Prop Jet(I empty weight=6,195)|Propjet|717.5|286|281|77|384|32800|2821|2259|1458|2100||10325|6733|44/4|14/11|46/8|1419
Twin Commander A/C|690A, Prop Jet (690 length=43/0 & height=14/11)|Propjet|717.5|285|279|77|384|32900|2849|2216|1666|2084||10250|6225|44/4|14/10|46/7|1471
Twin Commander A/C|840 Jet Prop|Propjet|717.5|291|286|75|425|34050|2824|1854|1285|1971|1240|10325|6629|42/11|14/11|52/1|1780
Twin Commander A/C|720 Alti-Cruiser|Piston|340|235|204|62|223|25360|1580|1570|1256|1625|1140|7500|5230|35/1|14/5|49/0|1217
Twin Commander A/C|700 (Fuji)|Piston|340|221|212|69|210|27400|1578|2264|1604|2154||6947|4704|38/2|13/4|42/5|
Twin Commander A/C|685 pressurized|Piston|435|242|222|75|256|27500|1490|2711|1949|2312||9000|6021|43/0|14/11|46/7|1170
Twin Commander A/C|681 Hawk, 681B Turbo Commander|Propjet|575|252|236|89|286|25600|2007|2016|1706|2504|1200|9400|5515|43/0|14/6|44/1|1296
Twin Commander A/C|680 W Turbo II Prop Jet|Propjet|575|252|243|89|286|26500|2025|1975|1660|2460|1200|9400|6423|43/0|14/6|44/0|957
Twin Commander A/C|680 T,V Prop Jet|Propjet|575|252|248|71|287|30000|2000|1975|1700|2460|1200|9400|5100|41/3|14/6|49/6|956
Twin Commander A/C|680 FLP Pressurized Grand|Piston|380|230|209|71|223|28500|1285|1740|1560|1360|1200|8500|5600|41/3|14/9|49/6|1139
Twin Commander A/C|680 FL Courser|Piston|380|239|204|74|223|27500|1282|1780|1250|1365|1000|8500|5449|41/6|14/6|49/3|1139
Twin Commander A/C|680 FL Grand|Piston|380|235|212|71|223|26500|1200|1740|1560|1360|1200|8500|5600|41/3|14/5|49/5|1139
Twin Commander A/C|680 F|Piston|380|244|221|67|223|27400|1440|1320|1050|1630|1150|8000|4780|35/1|14/5|49/5|1139
Twin Commander A/C|680 E|Piston|340|235|204|67|223|26000|1440|1565|1175|1450|1015|7500|5230|35/1|14/5|49/0|1217
Twin Commander A/C|680 Super|Piston|340|226|200|67|223|25570|1625|1565|1180|1630|1020|7000|4443|35/1|14/5|44/1|1217
Twin Commander A/C|560 F|Piston|350|216|200|63|223|21900|1587|1270|1070|1410|1210|7500|4680|35/1|14/5|49/5|1522
Twin Commander A/C|560 E|Piston|295|193|184|58|223|21500|1450|1450|1160|1500|1050|6500|4300|35/1|14/5|49/0|1413
Twin Commander A/C|560 A-HC|Piston|295|193|184|58|156|22000|1510|1250|1050|1370|960|6000|4250|35/1|14/5|49/0|826
Twin Commander A/C|560 A|Piston|275|183|174|58|156|21500|1400|1210|950|1370|900|6000|4198|35/1|14/5|44/1|913
Twin Commander A/C|560|Piston|270|179|171|52|150|21500|1400|1100|950|1050|900|6000|3900|35/5|14/5|44/1|887
Twin Commander A/C|500 S Shrike Commander & (Esquire thru'76)|Piston|290|187|177|59|156|19400|1340|1915|1100|2235|975|6750|4635|36/10|14/6|49/1|693
Twin Commander A/C|500 U|Piston|290|204|190|59|156|21000|1450|1375|1100|1235|865|6750|4348|35/1|14/6|49/1|1060
Twin Commander A/C|500 B|Piston|290|198|190|59|156|24000|1700|1375|1100|1235|865|6750|4350|35/1|14/9|49/5|957
Twin Commander A/C|500 A|Piston|260|198|190|54|156|22500|1400|1210|970|1150|865|6250|4255|35/1|14/5|49/5|957
Twin Commander A/C|500|Piston|250|190|178|55|156|22500|1400|1250|1000|1350|950|6000|3850|35/1|14/5|49/0|957
Twin Commander A/C|520|Piston|260|183|171|52|150|24000|1700|1100|950|1050|900|5500|3800|35/5|14/5|44/1|1000
Varga|2180|Piston|180|130|116|45|33|22000|1310|||||1817|1175|21/2|7/0|30/0|365
Varga|2150A Kachina|Piston|150|117|104|45|33|22000|910|||||1817|1125|21/2|7/0|30/0|380
|||||||||||||||||||
|||||||||||||||||||
